radius,objective,sigma,lr,key,seed,status,error,kl,validation_nll,parameters,scale,initial_gradient_norm,reference_gradient_norm,scaled_initial_gradient_norm,sample_sha256,initial_sha256,mask_sha256,validation_sha256,seconds
3,hellinger,0.75,0.02,r3_hellinger_sigma0.75_lr0.02,920011,ok,,0.8208287258028973,6.378566160094806,36,0.20934866992664836,0.24198328178864556,0.050658878186938296,0.050658878186938296,5837a0892158797e30ee855f572221b2ecab3442a24aaad4cd07d7b8f5be1eac,ed4c9119a55234aef1f092ab5ed89d8f93be82acba49f2c101c222bdee555a11,b3a59f9da8bc98f7bf90da8c7f844690958bdde125eb1c793e97e264e6a78b70,06b2aa0c481f22bff643e939330d54d698b93ad25f63cb324aad9be1d5cfe466,0.38616383299813606
3,hellinger,0.75,0.02,r3_hellinger_sigma0.75_lr0.02,920012,ok,,1.0650835830858647,6.889671761709947,36,0.22721331344198842,0.24943311552886216,0.05667452466147107,0.05667452466147107,365d3e4fe32ab0aa5a4529230bc116c70f20e4a401c9aebb78dd56a05ef1d128,25bb1c9eb3278ae961c607862f6c1b74c1b04b6da7920faa5545c2bcc2436478,dd7749920e4a121546c8b8d38bb387339d705520f4ccb1fa75ff523f88e6c60b,96fbeb2ddc50daf1f4ce189938f9c48f36a2408ae8567a2d18d7ffddb50f5510,0.3902337079998688
3,hellinger,0.75,0.02,r3_hellinger_sigma0.75_lr0.02,920013,ok,,1.043911486094987,6.644992575843226,36,0.23160661063075433,0.25003550401207775,0.0579098756215897,0.0579098756215897,44b31a53a78a81be5b0fc231443f2526819f7c1228ece9552fbdb0f73e7aa47d,63f82641c4d39089d1264a4ccb114045645da7f0504be0f2fbc86e0a7b2ea457,f576571b87e3cf3b58eae6e6ee46c57a2b3c6b6e4f8d6e025d2c80768f2904b2,63ac3c16e058bceb726c6c92cabee187ba3f3e2a6f1e2d96b83ee018bbf621fc,0.3856002079992322
3,hellinger,0.75,0.02,r3_hellinger_sigma0.75_lr0.02,920014,ok,,1.415806058264395,6.92924981373933,36,0.21537514076136163,0.2855916967578317,0.06150935188949411,0.06150935188949411,e7e63f95d879bc914ae925c236a64d6b3097768f981bfe5fdf47dd26872289e6,1abb40d75abb615f7cdd6afeb8f79497e352eee94cc34478b2604f8fee1cc5c2,9d16f4321a3364dad392731f6b3a261d96ebe17e9954160129fb7effd3bb1250,451a9f19fd85bf53ce8f3c9c66f84d8385df5218b5b6e2e70d113fd9a213edef,0.3820709160063416
3,hellinger,0.75,0.02,r3_hellinger_sigma0.75_lr0.02,920015,ok,,1.4663679720647962,7.210732381046028,36,0.1544192265810105,0.2786545471185565,0.04302961964932924,0.04302961964932924,e3bea0b1ea023148b46efa367053ad687b0d246624f8472b765d690c1324f142,e1379b15cc98fbf94072f6683b14d95623958bce6e55a73659ac61ed511b8a82,d5c3ddb45d4ab68f273e21e25985977314293590cf6e92b1f3ca15529f232c81,c572a4088b8a465eda1f2472c79cc0ca6e93dbc7839b28925c13e4f68ffe7beb,0.38853779200144345
3,hellinger,0.75,0.02,r3_hellinger_sigma0.75_lr0.02,920016,ok,,1.2319941405450163,6.901856926294006,36,0.16881315823480694,0.26548372633854744,0.04481714630315539,0.04481714630315539,7694f9221440096c42e56a32d7eccc20169d9f8b27b983b3251c8cb48f4045b9,d594d5f0c55aa33f08d39f817e8f4ed9d98e417b10b9732543dec0b78eab8d79,ad0dee4bf21a0feb8dc2367bceb65bb5d7a80c6aa432b01c44814c42382f4c17,3caa8aea5aee13b33e0f722b859bf2671283a891af8d89cf804bca5905cc419b,0.3930227919991012
3,hellinger,0.75,0.02,r3_hellinger_sigma0.75_lr0.02,920017,ok,,1.1035623403098596,6.709407442474649,36,0.1948318271749449,0.24822386433250987,0.04836190903632853,0.04836190903632853,30d2505a1f2f94ae36547ef8fab369839eb1c42ce5c128364052574aae1767ff,e4a46ceac09883d786dda96df3ab8b750c79563e9f1dd5e2e442be4b9a19b590,17c05c2b566bbb11abadfb903113fee6f33edba7b16376910d93bb5a7b3b5e5b,431d7cf971f56c98c05223b449ddd7a9c1c4318822306b68d9db3144bb5f6f97,0.387799415999325
3,hellinger,0.75,0.02,r3_hellinger_sigma0.75_lr0.02,920018,ok,,1.0415668795790443,6.719386263991656,36,0.18039674199057826,0.24514140554237557,0.04422271088683564,0.04422271088683564,bacd51770e7a0a0f3d303918ebb83c3b5aa6c9ef352c31b4307c3ad09311630e,24aff11ace4156af8f9a6c084e0d94c5f727ab052c505859027b35a944087d33,2eb574db88f2765daa7db31cce3e11eab1e3b58ffe309ebc27dd539fcc094548,d5bab11d99a2f2fc93346f9b216f604f682a66eddee76d386a058b0bff4fa879,0.38854829099727795
3,hellinger,0.75,0.02,r3_hellinger_sigma0.75_lr0.02,920019,ok,,1.3289165878668092,6.983939212934052,36,0.20609485357715848,0.26450079689502914,0.054512253007122764,0.054512253007122764,bb24cf8a2553474b62d81bbbb3e0c981b5c0d3ec406dc840d70b029520b0b88f,8c21173aaee275f59d3e8a390432c6d33bdd207e93e4dee60af2901ca9313cce,6f7cd891ad393054fa99e2feef9b42aa37e09cdb701731d7494bdae09353379e,f37a5ba2ca159b536bc8832394ef31794ba2c84b0d2abebb926bcfa26027079b,0.3868977090023691
3,hellinger,0.75,0.02,r3_hellinger_sigma0.75_lr0.02,920020,ok,,1.08152644449577,6.706482036177985,36,0.16379151248020177,0.26523330367229986,0.04344296396860665,0.04344296396860665,7913dc36aee6fb2ef93f9df3f574861b5d30ac6b18754e9c38b3f97788af85ac,d193f6ff0fd5d71fba3e53778224901b85f587439538d17b2e8f069ae79154a8,0daca05ca541c903a5598348f6a28c3c37076c2c1ed0e45535d43107f968f277,bfca6d59949b84ec507291e90f13a33d5f36892f288bc23c7d2512ea3b95a9bf,0.39290129100118065
3,hellinger,0.75,0.02,r3_hellinger_sigma0.75_lr0.02,920021,ok,,1.530926179126626,7.167517583745778,36,0.16300426565445178,0.2943406532858209,0.04797878204110683,0.04797878204110683,75a389eaeeacc7e2e9488642ccaa86a2e86113142389cf84d3631970ad95ae13,aa6a697f0ecfefa87599596634847d87776c1245a6fee0097a78b3488b18a544,f1f934fbc925bca2644f84c34d85336dcde7bd11262444e25b66d92abdb27352,9df3b0b3e63fede606ec63eb2e8b45a56a94c90a0e3aee5134442541235bf207,0.3844724579976173
