n,beta,seed,sigma,k,m,steps,protocol,model,init_seed,sample_seed,mask_seed,samples_sha256,masks_sha256,unique_masks,elite_size,elapsed_seconds,kl,support_mass,support_kl,conditional_kl,unseen_mass,region_mass_kl,within_region_kl,coverage_1000,recovery_1000,conditional_coverage_1000,coverage_2000,recovery_2000,conditional_coverage_2000,coverage_5000,recovery_5000,conditional_coverage_5000
12,0.1,111,0.5,128,200,600,matched,iqp-parity,11007,118,333,53ba3c479c6b7c453ec9bf1f7b8021717bc2d07bb8c4924d9872862ab3916e36,d7ecd91c26aae94b49f897d999416bd1156250ee74fcb6fc82f976a926f3ec37,126,340,0.3664403329603374,0.7334449596958205,1.0,-0.0,0.7334449596958205,0.9020191842743746,7.517388894187366e-05,0.7333697858068785,0.11401531065962638,0.3353391489989011,0.11401531065962638,0.08460000785160687,0.4976471050094522,0.08460000785160687,0.04812365914255393,0.7077008697434403,0.04812365914255393
12,0.1,111,0.5,128,200,600,matched,iqp-mse,11007,118,333,53ba3c479c6b7c453ec9bf1f7b8021717bc2d07bb8c4924d9872862ab3916e36,d7ecd91c26aae94b49f897d999416bd1156250ee74fcb6fc82f976a926f3ec37,126,340,0.2677038329420611,0.48268830012805775,1.0,-0.0,0.48268830012805775,0.8717750094831778,0.005578530669270602,0.4771097694587869,0.1235924145424377,0.363507101595405,0.1235924145424377,0.09165709645447419,0.5391593909086717,0.09165709645447419,0.051172356062976584,0.7525346479849498,0.051172356062976584
12,0.1,111,0.5,256,200,600,matched,iqp-parity,11903,118,333,53ba3c479c6b7c453ec9bf1f7b8021717bc2d07bb8c4924d9872862ab3916e36,972725b08e181ae6aa2f502c561750e0cf1d1c957e52aa11724afca40d471529,242,340,0.3555665420135483,0.6566983147531824,1.0,-0.0,0.6566983147531824,0.884648952468378,0.0022856628958613893,0.654412651857321,0.09857819542058197,0.2899358688840646,0.09857819542058197,0.07560924421665499,0.4447602600979705,0.07560924421665499,0.044828575483808926,0.6592437571148372,0.044828575483808926
12,0.1,111,0.5,256,200,600,matched,iqp-mse,11903,118,333,53ba3c479c6b7c453ec9bf1f7b8021717bc2d07bb8c4924d9872862ab3916e36,972725b08e181ae6aa2f502c561750e0cf1d1c957e52aa11724afca40d471529,242,340,0.26374358392786235,0.4830580559643406,1.0,-0.0,0.4830580559643406,0.8745590979975961,0.00476215832289726,0.47829589764144326,0.12161427207312517,0.3576890355091917,0.12161427207312517,0.09138857483084545,0.5375798519461497,0.09138857483084545,0.05150456312951908,0.7574200460223394,0.05150456312951908
12,0.1,111,0.5,512,200,600,matched,iqp-parity,13695,118,333,53ba3c479c6b7c453ec9bf1f7b8021717bc2d07bb8c4924d9872862ab3916e36,dd569f72802791a9cb290348a025906a6f5663a8cf2f3e08538e17980f26cab4,467,340,0.34605258400551975,0.6390961208812105,1.0,-0.0,0.6390961208812105,0.893835272676854,0.0007602323612752194,0.6383358885199353,0.11401764095573341,0.33534600281098065,0.11401764095573341,0.08511437237406279,0.5006727786709575,0.08511437237406279,0.04809422667283491,0.7072680393063957,0.04809422667283491
12,0.1,111,0.5,512,200,600,matched,iqp-mse,13695,118,333,53ba3c479c6b7c453ec9bf1f7b8021717bc2d07bb8c4924d9872862ab3916e36,dd569f72802791a9cb290348a025906a6f5663a8cf2f3e08538e17980f26cab4,467,340,0.2646363750100136,0.5157097035709959,1.0,-0.0,0.5157097035709959,0.8879606089078425,0.0016502838826180574,0.5140594196883778,0.12645076401341354,0.37191401180415745,0.12645076401341354,0.09321369767282733,0.5483158686636902,0.09321369767282733,0.05128469524500986,0.7541866947795567,0.05128469524500986
12,0.1,111,1.0,128,200,600,matched,iqp-parity,11007,118,333,53ba3c479c6b7c453ec9bf1f7b8021717bc2d07bb8c4924d9872862ab3916e36,331573660a98353ce03b9138deb1129ec9102bf9e352fdddeb42922986da2e6c,104,340,0.3526341669494286,0.5344269186921193,1.0,-0.0,0.5344269186921193,0.8948890412592337,0.0006344056566720494,0.5337925130354471,0.11035567601775748,0.32457551769928666,0.11035567601775748,0.08318693472140284,0.48933491012589914,0.08318693472140284,0.04802697149308708,0.7062789925453983,0.04802697149308708
12,0.1,111,1.0,128,200,600,matched,iqp-mse,11007,118,333,53ba3c479c6b7c453ec9bf1f7b8021717bc2d07bb8c4924d9872862ab3916e36,331573660a98353ce03b9138deb1129ec9102bf9e352fdddeb42922986da2e6c,104,340,0.26566308294422925,0.48268830012805775,1.0,-0.0,0.48268830012805775,0.8717750094831778,0.005578530669270602,0.4771097694587869,0.1235924145424377,0.363507101595405,0.1235924145424377,0.09165709645447419,0.5391593909086717,0.09165709645447419,0.051172356062976584,0.7525346479849498,0.051172356062976584
12,0.1,111,1.0,256,200,600,matched,iqp-parity,11903,118,333,53ba3c479c6b7c453ec9bf1f7b8021717bc2d07bb8c4924d9872862ab3916e36,43fcbd0bd66ce3fd512595d22a3f4122b9e21124d682e858fea5860edb391eb2,167,340,0.3450103329960257,0.5930088862976423,1.0,-0.0,0.5930088862976423,0.8908216421380621,0.0011777288265692933,0.5918311574710728,0.10752104496228497,0.31623836753613227,0.10752104496228497,0.08117896091611185,0.47752329950654027,0.08117896091611185,0.046761691614326556,0.6876719355048022,0.046761691614326556
12,0.1,111,1.0,256,200,600,matched,iqp-mse,11903,118,333,53ba3c479c6b7c453ec9bf1f7b8021717bc2d07bb8c4924d9872862ab3916e36,43fcbd0bd66ce3fd512595d22a3f4122b9e21124d682e858fea5860edb391eb2,167,340,0.26567424996756017,0.4830580559643406,1.0,-0.0,0.4830580559643406,0.8745590979975961,0.00476215832289726,0.47829589764144326,0.12161427207312517,0.3576890355091917,0.12161427207312517,0.09138857483084545,0.5375798519461497,0.09138857483084545,0.05150456312951908,0.7574200460223394,0.05150456312951908
