architecture,beta,conditional_kl,coverage_1000,key,kl,l2,lr,model,parameters,recovery_1000,region_mass_kl,sample_sha256,seconds,seed,sigma,steps,support_aware,support_kl,support_mass,unseen_mass,validation_nll,validation_sha256,within_region_kl
dense,0.9,0.32429429819552164,0.1303022093868997,ising-nll_dense_s1_lr0.005_t100_support,0.32429429819552164,0.0,0.005,ising-nll,78,0.4508726968404834,0.015368085079524071,6f4599f803588363f7f3f06a30082972087391773f80fd6d7eb3eadc6484859e,0.06772083300165832,111,1.0,100,True,-0.0,1.0,0.5426276639691192,6.062762905140492,ff013eda1d426d67006a334f6583897c614d689f5823b14c442be63e78bb3962,0.30892621311599777
dense,0.9,0.331697549588567,0.12521822733080165,ising-nll_dense_s1_lr0.005_t100_support,0.3316975495885668,0.0,0.005,ising-nll,78,0.4259123378598696,0.006076320706688551,23158049f8a287709543a55b89f8943218b08cba397a67e034633640e70c99f6,0.07091925002168864,112,1.0,100,True,-2.2204460492503128e-16,1.0000000000000002,0.5237551164148556,5.966174621903074,3dd0b47c3c1ce23069083c16d0c2272714da54db5025db5646fd1228b010a5e8,0.3256212288818786
dense,0.9,0.32034845326734007,0.13093871139691787,ising-nll_dense_s1_lr0.005_t100_support,0.3203484532673402,0.0,0.005,ising-nll,78,0.4307194453845983,0.0055587620200966,1130bcd06d370ab57f1bc3a67409c755b267648b80a0f46e840060bb010d3ab8,0.05687216599471867,113,1.0,100,True,1.1102230246251565e-16,0.9999999999999999,0.5465524923584795,5.92021006444763,db95c591d5ad7a1f08531cf0e04985b931fc730f28e8ed47b8c7c5d8ecd8db0c,0.3147896912472436
dense,0.9,0.32678714260194386,0.12672463402699835,ising-nll_dense_s1_lr0.005_t100_support,0.32678714260194364,0.0,0.005,ising-nll,78,0.4295750305999944,0.015713164282401673,c8a7a565f4c34afcedf377bd8a33aee023bbafec99430b278d5183f906311b3e,0.06340204202570021,114,1.0,100,True,-2.2204460492503128e-16,1.0000000000000002,0.5385951266580987,6.006335931568621,52ceac77e1e0c99a5de90b23d52d3e2f15eb08da92d5b6842d3e92834a138f22,0.3110739783195423
dense,0.9,0.31531224180653405,0.13317194220967976,ising-nll_dense_s1_lr0.005_t100_support,0.31531224180653417,0.0,0.005,ising-nll,78,0.4453911110691631,0.007463247415045546,21e3187a25ce542a7fda12331f6df5573b7aa9cfb19c4d6a1242f48e9ab77257,0.06736395799089223,115,1.0,100,True,1.1102230246251565e-16,0.9999999999999999,0.5379489591506195,5.892796346289722,c3a0cabd7487508470d585545f7b6a856897b0410105302f1b4d5c12944c190d,0.3078489943914886
dense,0.9,0.3612603130834462,0.12775807757610808,ising-nll_dense_s1_lr0.005_t100_support,0.3612603130834462,0.0,0.005,ising-nll,78,0.4188789428724855,3.093879329100092e-05,b240340bda42b13e461b839e854e8931eb9b197c11fad589d1f07877b5a6c105,0.07472783303819597,116,1.0,100,True,-0.0,1.0,0.5206283814478795,6.042444287559625,0d285e8573294ff0f8d626c9d7c79b1ffa6d14fb3071ba7be902aa48627a1c7e,0.3612293742901552
dense,0.9,0.3050148931569363,0.13034847093277344,ising-nll_dense_s1_lr0.005_t100_support,0.3050148931569363,0.0,0.005,ising-nll,78,0.44036645585396433,0.00972295136627474,2ff937c83d36f7b3a5406c91e8755c50ce932575e34db68925452587b0ab77d6,0.06437700008973479,117,1.0,100,True,-0.0,1.0,0.538145609327655,5.935406471296388,32821079a74fe63f445d951a557ad18447fced01821fc77b6b8d137d2fe48881,0.2952919417906617
dense,0.9,0.3267444697494657,0.12859076128700156,ising-nll_dense_s1_lr0.005_t100_support,0.32674446974946547,0.0,0.005,ising-nll,78,0.44805143305575457,0.01149480893221852,f9372f8f74b3a18b86f9a9dd960278381003e836073cde71119d3b892dde9434,0.07041375001426786,118,1.0,100,True,-2.2204460492503128e-16,1.0000000000000002,0.521902697029344,6.039002400907383,ffdd2708cda2855a18fd4a81398631fadb59f1610b8dd3d36eefe8f678572c16,0.31524966081724726
dense,0.9,0.35444221248623387,0.12304931223909975,ising-nll_dense_s1_lr0.005_t100_support,0.35444221248623387,0.0,0.005,ising-nll,78,0.4171163126749144,0.0032852681649734525,9cc5a5818d004f0f1492c246ba3ab8685b2df3f7dfd15cdf113ebebec42d8dee,0.07304104196373373,119,1.0,100,True,-0.0,1.0,0.5042299280928945,5.965991792995007,01bf4e2b10f88360652600d185a9d719f05502f25f089d70da96eafa7fe4dfe3,0.35115694432126043
dense,0.9,0.30432171415149123,0.1375825853984093,ising-nll_dense_s1_lr0.005_t100_support,0.30432171415149156,0.0,0.005,ising-nll,78,0.4679679775456099,0.015317859804905187,69e5aaf107b63f46b6b057dfe99d3189e4f485b9649136f1718f398f646e43c6,0.06120866606943309,120,1.0,100,True,3.33066907387547e-16,0.9999999999999997,0.5565082636110401,5.993017591179369,dff4b17a330f664ec4d31f507c7603e7842ac94d65226c760d6e78cfa953aeb7,0.28900385434658593
dense,0.9,0.3575321449630767,0.13123170022308484,ising-nll_dense_s1_lr0.005_t200_support,0.35753214496307695,0.0,0.005,ising-nll,78,0.45408892810755996,0.007863550170915022,6f4599f803588363f7f3f06a30082972087391773f80fd6d7eb3eadc6484859e,0.10719300003256649,111,1.0,200,True,2.2204460492503136e-16,0.9999999999999998,0.51775081727092,6.097137025875963,ff013eda1d426d67006a334f6583897c614d689f5823b14c442be63e78bb3962,0.349668594792162
