radius,objective,sigma,lr,beta,seed,key,parameters,status,error,kl,validation_nll,recovery_1000,coverage_1000,sample_sha256,validation_sha256,mask_sha256,initial_sha256,seconds,role
1,mse,0.75,0.02,0.9,300011,r1_mse_sigma0.75_lr0.02,12,ok,,0.6688918676217006,6.3807167404983725,0.37494899531959736,0.11360954558183799,e77879b793619b6b11bd41e6c0dd2126d719a2f55d9c0ac0da2f1549b0913658,a815904015b8a5020a10190b51a4a1dbcc318a510e2cdda9f1b17ab6b4222a91,5bd61f9d39cc4cc3c95c3edac539cb72db72c7da8b3f32ef562ec5d1774de753,8522955fcbd0319c40f7158be5aa1e41715bd625e8f73761939e1af8561eb62d,0.2731814169092104,r1_mse_matched
1,mse,0.75,0.02,0.9,300012,r1_mse_sigma0.75_lr0.02,12,ok,,0.7095765050032065,6.415151537135423,0.3503386792516643,0.10440092641699596,9a73bc3dd78108b7e8c672136c1ebbc9996870d62df4ae1db431a984856c4ad2,1d51aeda2aebdfd8b9ff597f1185d611b6e9ed0df0728b69bcb6d1379cd855e0,51f56ce6a5ffd57a004adc4d3b933139b11ac3a8a60ed27aae338eff841e7a94,c240d9d836dc84a2623b3f1cba65649d326e105449ab398070079f23c7f955be,0.2695469169411808,r1_mse_matched
1,mse,0.75,0.02,0.9,300013,r1_mse_sigma0.75_lr0.02,12,ok,,0.6488051329755143,6.333640546906662,0.3831503226242575,0.10996414259316191,43be896293e02a570742d018597b933e42ce673588e34b4fa509ef9d1086355c,fffdef1c1b60ad8ff28008f50a6fbe337eebd5feba0cb6cdf1f62599072d89f9,ec5400175b7029cb3cacb2798ab3139530622f9622ec41de1f216b1f0c7672e7,2b2c080b43cb1b483e57c8d82fc917ae144507c3ed8d527ab9ec4c77ea254bd5,0.27035450004041195,r1_mse_matched
1,mse,0.75,0.02,0.9,300014,r1_mse_sigma0.75_lr0.02,12,ok,,0.7984598009000856,6.455356967350499,0.31874556991416947,0.08829252286622494,0cecdd4ef73e35260909137e7b4a9da22dc59d3d45a902be1bb9f890039876f6,023f1bdec63d2e5bed62469a7b9aa815b4634b3b7388108055538265bed25dc7,6d8b0c0df6ef122481e0cb03e2c80742a9e5a650c5693a53530456e46c6eb7af,f305184fa4c6e81c0751455dc9d21b8d0ed4f9a25ef19b774896a0ba75751d1b,0.2765849169809371,r1_mse_matched
1,mse,0.75,0.02,0.9,300015,r1_mse_sigma0.75_lr0.02,12,ok,,0.7106693068511071,6.342159729770132,0.35126191732228096,0.10748614670061798,7d60c852db0400ac3b4314a8c7a8366b70bbe606cc64f24d1f55a53477325310,95577195c75752a3d800cd54cb592b0e570d9ddaae911f46c2cafbc86fbdada7,f2b43ba805d16e74a13ab8ef2b875c54467b1e2ce135d9c0b5a54467133bfcb5,e0a6288fea4cf100eb6f7dc59f16822f377ce5bbf58b3f2a03edaefa46a93a18,0.2860720829339698,r1_mse_matched
1,mse,0.75,0.02,0.9,300016,r1_mse_sigma0.75_lr0.02,12,ok,,0.8496656007866434,6.370835064308762,0.3068133980453548,0.09449852659796927,e9cb11c03b8ee8be5af6abdcc1d3777225768bd24abd02a539c763d257098807,34c39d8d5501347c5c7a8076aa73df0fd8faebae88bb05da13de3c574b7f25c5,9cc8b1fac2217e31c2bd1182c8e33df4f081e264e52b1f05c952484a2c0ce615,546d28069b8d711ecfa7a05530403321e69a48693e89ddb7bd696fa00b397867,0.2840393749065697,r1_mse_matched
1,mse,0.75,0.02,0.9,300017,r1_mse_sigma0.75_lr0.02,12,ok,,0.8007101133657633,6.47018450494787,0.33821339471811773,0.09808188446825415,3c4ef79e66878b5be9a3cc390e0d91b4b1d607483a1aab1662b84f5be4a254a0,f3ec861043fbbf94cdf36e85a09f9ce95b7156b2ea7ecf03bbc1eccf865160dd,1d68cb65efe7145da6f906bcb83f8527eed99024a39634ece9eef8dfc44d13a7,c3dcdd93646bc11624b915fb3017523a60b63eff2f3233ca6a8b936b4072ad40,0.28088887501508,r1_mse_matched
1,mse,0.75,0.02,0.9,300018,r1_mse_sigma0.75_lr0.02,12,ok,,0.8724302022391935,6.3851996848782555,0.3135461315900299,0.09343674721382891,1e61d1562101428c9c58975a868ed0d794029be0ae2ab5b7d5405928c87d4a13,bd933405607b33df3caa53139bebdc6aebde79ef4c90313fa0ee4b523101117d,5acee9bef351250b67c0910eb398a161555d42ca42f246bd60d219654ec057fb,8ce8b12acec61ee0e2d401994bf59be7540637d1a7a9506fe30aaca97e3d9c07,0.2823972919723019,r1_mse_matched
1,mse,0.75,0.02,0.9,300019,r1_mse_sigma0.75_lr0.02,12,ok,,0.8624585811377409,6.467229130033993,0.3160315938232217,0.09512550974078973,fdfd8e6a98343166e6dcd7fdd44414055adf41a5cfdff0fb23072998f90d34c2,43bde573aaca9ac4ed736014dcc914055e7ba211a6ebb9f59bd2eab92521ca4a,c2aeb78cab28998875578d1db90e4d7967a8ba1e909ef64f9459b1d5bc10a59d,2d3f78225aa80a241d7ab901e01446dc35a5b7efb135f890b605768e35c5c55b,0.27507187507580966,r1_mse_matched
1,mse,0.75,0.02,0.9,300020,r1_mse_sigma0.75_lr0.02,12,ok,,0.7089960549446453,6.2919564428299495,0.3405585405336033,0.10114588653848018,906ca7b0c8cf3b525f857a92fec5f7c51c7412455b4ee13098e957ea4447fc43,6ef26e9565f7a805b72693c700925b72122e52339ba7e680019adea3d69e0994,fa2650fc47b2898848deb9e16643c9df16dbb8c064f1372fcc8fb42d5b069278,395782d6f0893b9b8663feae92e4651fd4a9abbd35e1f95bef58d9e2df0e41c6,0.2754067499190569,r1_mse_matched
