architecture,beta,conditional_kl,coverage_1000,error,family,initial_sha256,key,kind,kl,l2,lr,mask_sha256,model,objective,parameters,recovery_1000,region_mass_kl,role,sample_sha256,seconds,seed,sigma,source_code_sha256,status,steps,support_aware,support_kl,support_mass,unseen_mass,validation_nll,validation_sha256,within_region_kl
ring3,0.9,,0.12179322879363622,,mse,1a34155cb96f6736079b5edebdf88bea6da44b6e5d657512373dbe65e5f2cf71,b0.9_ring3_mse_sigma0.75_lr0.1,iqp,0.3557903167466322,,0.1,d03f479d5f8f4fd6e72587a95440729463b998d62555ec4e0d53c9079359e325,,mse,36,0.41007821142638456,,mse_matched,c04ec6453b5e508163b057636f521e9aa1e45b0a21df2e7393a9855ef689b2ba,0.3465417909901589,5057,0.75,3da0b0fe2f7362459d6d946614d08a32e9b004b8d0e05b6f96a877c4da95bee0,ok,,,,,,6.003163025474529,6da94dd7713db5f5d00b5ea4223f475d35003239a44991836e51273cacb611dc,
ring3,0.9,,0.12002079329174106,,mse,7051c22f9fe25ada642f6d57e04b8ce8c99225fb3e1b89dddb4f3f5f0f3c67c2,b0.9_ring3_mse_sigma0.75_lr0.1,iqp,0.3375499542883225,,0.1,2fde75e5ae19d0b5c618c36ebc03ea63ecb20431f7eed350e706bd6c16eab361,,mse,36,0.4068501467516646,,mse_matched,a694dc0c0d8bb1c93e8aa15e8708bdb7afda158518b0118356a52f031002046d,0.3419584579532966,5058,0.75,3da0b0fe2f7362459d6d946614d08a32e9b004b8d0e05b6f96a877c4da95bee0,ok,,,,,,5.976643583930618,9073239b3a62dbe678b9c7660447af9e4c50e78cbcf683e0b622e4373803494d,
ring3,0.9,,0.11404799332836874,,mse,aeb834bfe8163e5cfd408c8b41c229ffe5eea895dea035fd94ed165de0a59d23,b0.9_ring3_mse_sigma0.75_lr0.1,iqp,0.44863621307499757,,0.1,67a8a2ce91070da0b06a8a33970d0c1d78baa438f7f7f2589a4ac88cfb9a9027,,mse,36,0.39599997683461363,,mse_matched,9c4796d3f6afe25248581fbe8a6161c6cb57456fba3538b7c1be5f7e21ab3c60,0.33089683298021555,5059,0.75,3da0b0fe2f7362459d6d946614d08a32e9b004b8d0e05b6f96a877c4da95bee0,ok,,,,,,5.967395290625034,b0f41b6add48c452a873e5fcec49f62061035495d735a10e2f05cefd48111db5,
ring3,0.9,,0.10851567400366215,,mse,1621ab046ee04189208589274f3857eb3152780d33f1f603b5bf4277338eb697,b0.9_ring3_mse_sigma0.75_lr0.1,iqp,0.49950741321914427,,0.1,30d5acc4bf6c98bc19cf5fa30948ea50a26eb280a00b5656d2827e4ad56b8d0c,,mse,36,0.3629286755975322,,mse_matched,efd0312e6085d62a99c3cd5792ebfe4e0ec2b0bc778846c0f4d7489bcfc3efac,0.3542145829414949,5060,0.75,3da0b0fe2f7362459d6d946614d08a32e9b004b8d0e05b6f96a877c4da95bee0,ok,,,,,,6.137698279806215,6180b23d0796006bc0f1a8ef22a1f1012591ebbd258fc4219d9a3d8c97f04154,
ring3,0.9,,0.12664895546395644,,mse,6fa0c272affd5691ad75c3804bfafd05b3544c7dcc6afea30f24e9aa5df4f0f9,b0.9_ring3_mse_sigma0.75_lr0.1,iqp,0.35890995021957695,,0.1,308789782e6a4a62ed99827e691fed89f7754d4d961637e3a5d45f5f1b8c7f08,,mse,36,0.41798335136619286,,mse_matched,cb060a8063cadd29c9d4643c3c80d4e06b4c30cfe31c73ccc1676524022d0e65,0.366309417062439,5061,0.75,3da0b0fe2f7362459d6d946614d08a32e9b004b8d0e05b6f96a877c4da95bee0,ok,,,,,,6.069929922560407,6e3e1ae1bc8173fc2276aef6241a224df4dc6973a964b4810f9c026a28d2f0f2,
ring3,0.9,,0.12927029281172916,,mse,9d1951b8cb27ab5d5183d84da2e34e7c0e90a242832a86608b9b28e9d7198a7a,b0.9_ring3_mse_sigma0.75_lr0.1,iqp,0.3878011348325134,,0.1,f2fe8623ad0365fef7ae03c6d2463f6f93716d6eab64620e62158298900905cd,,mse,36,0.44270648223194925,,mse_matched,5a33dea77b8f37156ebca28e2a130ab8107a8dc4ae2126f6aaf3f752fc7e3c66,0.34404154191724956,5062,0.75,3da0b0fe2f7362459d6d946614d08a32e9b004b8d0e05b6f96a877c4da95bee0,ok,,,,,,6.0258778825429,5d61e4e8ba2a3bd7ee89638c0f9f11288cc9dd7f82b0dc36ea6a37d34ea37d85,
ring3,0.9,,0.11673516501746053,,mse,2ad408d11c5d90112e0b6402a7d84bf36e9a6c26556655b2e5395b39c6a1baac,b0.9_ring3_mse_sigma0.75_lr0.1,iqp,0.47743330686409363,,0.1,9250c3608d90ed320d293d505335adb567041b366beceee458f9d9b9d7c5abde,,mse,36,0.3852645710147212,,mse_matched,c34b77cd3ae9ba551caf06db94e337dfce8cc519f5849c2e0652175394e8e37a,0.34081816696561873,5063,0.75,3da0b0fe2f7362459d6d946614d08a32e9b004b8d0e05b6f96a877c4da95bee0,ok,,,,,,6.256642715035481,f471811d77d98f76303fa9b37c099ec5980d62578a7857c3ef52b92e9193a018,
ring3,0.9,,0.11716167417850512,,mse,f599be62d13128ebabc528960c63394968a5cda33a9ba71d8b8f5480c40a7617,b0.9_ring3_mse_sigma0.75_lr0.1,iqp,0.4348716619555042,,0.1,b4cfe0ee1a881671677f4c1bbc4a0116133331129af063099b2be80124062ef8,,mse,36,0.3971582175542547,,mse_matched,56cf9004df5e05c6f6008f259bc06e56c11c25d00c222cd71ac32fe57ae7e8de,0.35782233299687505,5064,0.75,3da0b0fe2f7362459d6d946614d08a32e9b004b8d0e05b6f96a877c4da95bee0,ok,,,,,,6.068065604203825,341d8bca67412b5afc628c5a6a9561ff4c0aea6ff42ecac28d6f2a6f1564711e,
ring3,0.9,,0.12409450327361662,,mse,82645d14d5c5cc6849a7007b9f0d1434227914dae82d91e096620ffcb55ca779,b0.9_ring3_mse_sigma0.75_lr0.1,iqp,0.3423907630504683,,0.1,aa4fc0e50e333fc24c8f4d89def29788cc242f055341f3e3db9707046050bcf2,,mse,36,0.4220901471891722,,mse_matched,21be56773691e5f31f773cc7e816406ba68a3c2b246810f073fdd8d6c8875724,0.3825210409704596,5065,0.75,3da0b0fe2f7362459d6d946614d08a32e9b004b8d0e05b6f96a877c4da95bee0,ok,,,,,,5.938903375448664,123884466911cbd7489ecc05086e13f1fd35dec55b23cb140fe8dff0d16c55b3,
ring3,0.9,,0.12529810817649834,,mse,ada6387d388cc6d7bf7aa4c2fb6f45ccd332b24a57512d28c5bc33accccc62b7,b0.9_ring3_mse_sigma0.75_lr0.1,iqp,0.39957542419409153,,0.1,df73f9642c274a3d9fd6f02da7ffe43b9a1db2b99398299624f5dbbcea645874,,mse,36,0.42910311019348746,,mse_matched,d113b6b1a76475474a958910238c77df2f9de6058bfa805b9520377b273f5b49,0.3666391660226509,5066,0.75,3da0b0fe2f7362459d6d946614d08a32e9b004b8d0e05b6f96a877c4da95bee0,ok,,,,,,6.0607402424145995,013c8664adfb28f27682b1b507c792c9a25d8fd43d5f0f307b5075a068446b4e,
