objective,lr,key,seed,status,error,kl,validation_nll,parameters,scale,initial_gradient_norm,reference_gradient_norm,scaled_initial_gradient_norm,sample_sha256,initial_sha256,mask_sha256,validation_sha256,seconds
hellinger,0.1,hellinger_lr0.1,5011,ok,,1.0706185488334894,6.729821764090511,36,0.18492197956711137,0.2465440170336861,0.04559140768029686,0.04559140768029686,ef1bb272e260a1b79c64ecc75863a47f680b8675f52b619a3949d0054cb09463,b71666db4ef792ed9542f002966ce4de2988c4df1b88ffce4f38697566edb55a,904268223180f83f0071bfbbc8767454d4dedaa6d9180ca389754d52615a091d,b623d25747125cde4387596dc3e768f4b18a567b8b537d17ea68f8d92b541c16,0.3809242080023978
hellinger,0.1,hellinger_lr0.1,5012,ok,,1.3008042031547882,6.823102446955722,36,0.1567178883724102,0.2991598156161509,0.046883694589242755,0.04688369458924276,c63684ec222d70bc29ca1ed69a9df253c708402d46c0ff889b7f38afcea4f0e9,9737796ac42b5871ffe84c825103758b48d25fbfaa2194f953c47a97fccfe121,9f7a10927f5db0572e27894e697a328d62f55b93c5c24e685d99dec8547138c8,9f31347a64a0b3ea43a8b60284a63cb1a5cfc07d523f244464df06a19e9d860d,0.37917729200125905
hellinger,0.1,hellinger_lr0.1,5013,ok,,1.1025263655902404,6.547210815186066,36,0.1901092978059524,0.24566108028725736,0.04670245547166219,0.04670245547166219,a9ee2f42cb315e215f373fe8e60bd479ec65392aa8e4b4aeae612e4c1ae3e581,af393c9544ef8c7df1cf765a273e5c43245d778627f13081e41a6994269ef33f,c1056c311f5f9ac5e5169c22779db1d962f9a49592a1df5c7e7f266ae4234c6c,b85ad0bab9b6834ea466c55f3fa6d9518a5f79d4254932a1b15251341b0b746e,0.37843408300250303
hellinger,0.1,hellinger_lr0.1,5014,ok,,0.9909500673161995,6.5776480515371,36,0.1971462500813319,0.2367157703115285,0.04666762645203172,0.04666762645203172,d8df61078fbad89de6fafa637013ff0fff65c48c089a6707c392468d80e57c23,d8d2302ea6b16713683c33f0ddec9260bd4d7dfc44c93a1a41fff836ec7893db,d25756dd67bb12f354a50b8a7d3230921ba81d5e03d3f3033637c4a892357084,288800f7969bce65b4b3fb5cc536448b2a1815857cf9bb4d5accf1b5a0a33ae1,0.3823081250011455
hellinger,0.1,hellinger_lr0.1,5015,ok,,1.0659557722341688,6.67251984536686,36,0.18445787082462464,0.27330557618218426,0.050413364667062956,0.050413364667062956,7b6a23a066459c3306419dee2a1b3d57e7a6fb2577dc901a1c149b08ea631377,68d74cb499bd0c3a5fb69a0e0b72d8fa6a25ff6e2d079cce8e86236fceedd415,0b498f33042157ea2a587477b512e9e270bb54891012285a402dc3af404d9a7c,46e8e6c1df10941fa23506b9d3cce6eeded5ef0673df2b082f8a03696c38d1b3,0.3831030829969677
hellinger,0.1,hellinger_lr0.1,5016,ok,,1.1419775375840755,6.834284100235713,36,0.24113003809106678,0.22625371870376326,0.054556567809283946,0.054556567809283946,f42b0e5bbd8a5eedca63db1411e5fd1bdd9534b8fa0fd29852e18acb76fb6b26,419bff425a765dd91f335990e64b4425f360bdcc00ca47e36bd8a965992609a1,de34a1505ea19a91ffb66756efcfc43b91288ad3add50498a5fe05bcd1a86294,68de4839bdd1f2fbcfd44a806090c7d17719359c3f33595954e39c98da83c1f2,0.381209957995452
hellinger,0.1,hellinger_lr0.1,5017,ok,,0.9822857176570441,6.724774732279005,36,0.20141891558595754,0.26011115285116954,0.05239130633909581,0.05239130633909581,825537190a88ee247897bc0cb1a16b8e9c1eda0e6f3588b93b0e79683874b541,e5475dfe9fda5080cc41f98c4da9f5e7d1e385ec6357549cf4b9803416613839,f62ad8180844f87027b0c73e9e37081a154618be3d054b48fc4a138c060f0372,024422524b08fc23ce5ab78a82f83b7bb19601c992d2039d4c8804f96e61a825,0.3829529159993399
hellinger,0.1,hellinger_lr0.1,5018,ok,,1.1601368358371962,6.8958618036353965,36,0.1874919115802462,0.2508493981369492,0.04703223317545085,0.04703223317545085,9cdce92cfdb2caced0d880f12bfde7f5636436ab660c680f4cf63e6190b25ccd,fd6f654c33bdc706620d873e07623f1a6d16e8f0d2ae8c83f9a957875b947dd3,a27da0f386b110be4ecb92f53cf2eddbb154dcfdaaa6700a380015a1099346e1,58f3b52852b82651f832a07ce8a3cb83e64fe42913140984227f343e804bb10e,0.3814415419983561
hellinger,0.1,hellinger_lr0.1,5019,ok,,0.9367339763555497,6.511103196254777,36,0.21654184589536168,0.25562584058388504,0.05535369137858793,0.05535369137858793,d71f8ee5f2a163eaa8ebedd0e7fdf27a87422962bef6e556256f1d75e0e9c4a6,1240dfbaf3145bbe63c1ec2ee10dedf89279afb0802d35b0e2e2276e00212390,840023f21488491ef0027a979cb956ed6d29650501a511fdc4726a7d94c7d6dc,0323dbca2510afb56bb20924a9b742086c0eb61b1aa803df9f8afa4ce6ced9a8,0.3794354999990901
hellinger,0.1,hellinger_lr0.1,5020,ok,,1.3381839896915673,6.938017193260958,36,0.17632999213616962,0.27600380120426476,0.04866774809590093,0.04866774809590093,57d2748c8d076b3678ccc574e170ba4292db79fe4e0aa7856713e5585fd399d7,1f907353e2fda9b884e9f9b8e8511c8bb1baafa383e2aadd54cb07c56d42dcc7,ee35e55986f29402230dbbbabaeb20611ca0442f48d5ade74ea048683cfddfa5,07726dc11b382f63e633308f779f7816c81175ff742f1dc6da139ccbfb3b77e9,0.3954096660017967
js,0.1,js_lr0.1,5001,ok,,1.3152467545802726,7.032500295305514,36,1.1974697679118398,0.050686409096864796,0.06069544253750725,0.06069544253750725,f634d215f486bc558a27fbaed79b617c60cf3518a9ab066711519e13626c7fe4,e0c883aea07a647adc43c74f71b0ad1d2603677cc3866d3d23b1cbf11327813c,8e59b40791047cd47341f552b4197ff05e09327a77631c609592070f1f338a90,f6efd755a2fe0d1d7b96c531a513b9fe56ab7ec95f3aae884d699c0811a9eec5,0.44981704100064235
js,0.1,js_lr0.1,5002,ok,,1.2190491314881025,6.876065669963047,36,1.061866256372469,0.05501594918210881,0.05841957999878388,0.05841957999878388,6e67181e6d2dfd971ac2af5fcdc40a920a8b14e70723d1e5f0f875901f0d45b9,33dc9e2aefeacd905b80617a7c7c95428ca9f9f1ea8fc5262fec179e6adb94df,ae5308d27d6f6a4cda935f80d1375dac19b6a0f9b0c8812aeaa85c603ce91ad3,c52bd44a166a75632cdb12c1174f6f7a27eee8637bd5e7fcaf04421aa4eee618,0.44504637499630917
js,0.1,js_lr0.1,5003,ok,,1.159499997395752,6.683962787706399,36,0.9221051692045914,0.06304858331166728,0.05813742458271474,0.05813742458271474,54d7c88ab9f5698fcf0561b589594bc0e6441d7df4a4b7d493cd6995f6fe5943,c1b904bed1b6b8e46c1c24a963bfde66e1295b88f08be63c9172e7e2437c021f,20b03cf9408d8f78160d3e57594b9a43564be568d71f5f09a06a3f6bc37a75b8,88d5f3a49aa65b38a689653aed1eed868a5a0980f8f580ae09b3d69375a0ee27,0.43965587499405956
js,0.1,js_lr0.1,5004,ok,,0.9246578700226313,6.630727978061768,36,1.2332652922489968,0.03897432001191011,0.048065676159694246,0.04806567615969425,30c070b9bd5993eb4bb28268b5e90da59c174aee28f1e6fc87665efdfd0666e0,b846b10a73b063b14510247f6d0ba5ef4475a6b8e6c8ad9cc3c48a693cf4d881,d1abd1746de8692af851a2534e2bb6dbaf400139d9dc9eceefca97f7f563c6bf,ed4d1f828185e3680866b5370cb7845c0e947341cbd6f5907876ad45aff6c615,0.4422816660007811
js,0.1,js_lr0.1,5005,ok,,1.3890749558993385,6.87203767674468,36,1.044572721457807,0.0468751785093577,0.048964532784340285,0.048964532784340285,16ec534d1c1e03a611c9ddec706997e5053e70c79e7a05ec9cbe86039b551864,131c9d72e2e735ab71b9ca47490d28a08d5f4b279e242fdee15ccec33328a68a,0c8743a07c28766b4320d9e837e94e730d761f003264029ba3dd3ca81fe138b3,72e39ae700156bea44a3b421b5e6878156f492f9199008e031c91c470315051a,0.4394489580008667
js,0.1,js_lr0.1,5006,ok,,1.3554308814905385,7.086621583145454,36,1.0909174724221322,0.04377304741993879,0.04775278225157376,0.047752782251573755,8d23ac13e86eae2ee9cb0ee64a7817301183aabab14aa80834e1983a37c64ed2,f118dfacb4d7506edcd115fd66dd9a1dcca42f016aa1d13deb57ac6491559bab,e4182ae80a53f761ec9e2f85c571661bf5a96c9a430664aa0c2635d547f30ae8,083eb0fba40665daeae1b1af7a94379d4e4734e0f71ff680db6bb72b91aca973,0.43070058400189737
js,0.1,js_lr0.1,5007,ok,,2.4354141042604844,8.14368582148271,36,1.2171655643912345,0.0381897518331507,0.04648325084395805,0.04648325084395805,580a40f12043f7b90f4a1f58b7157f315b22a3eb6493b947bfbc886bbe9cbb92,92ea0a58f12bf0c063598169310568b28ee5fa513b96d6fdbc9b406fea5f9db9,d3df25ebbbc0cb8aa754b74efe376397fc03190f9c8055abbd31502aa51bb86d,2a80f5707528f62f4708cd64497d1adf2195cafcb8812211884826ab3557214e,0.4293782500026282
js,0.1,js_lr0.1,5008,ok,,0.8610908717675911,6.552007681941106,36,1.7194281619928393,0.03227547993960505,0.05549536914999187,0.05549536914999187,a08ca704b105230ee6ceac528393ff70ed571c34749fe0130b1facf2359e34e7,f860d5a5eb53ad12ef0b4d864478922ac4c6c5049f0aa82c34a53f105c3712a5,9bb3900f8e588c46d8cad5e336cf941d39d644e0797c3612f73a95771c18b8e9,09ee91913e431ca4dc46c41a99dffe621719e4bfc2dde81d9b7cf83b6eeaa3ec,0.4319159170045168
js,0.1,js_lr0.1,5009,ok,,1.4313536993377514,7.091543882255797,36,1.3641929059574083,0.03201589437833354,0.04367585598880429,0.04367585598880429,5140f1586b0b65dfa695944544b1b212cde5b26b50f9570a4b24565b03c9c40e,2a083eeb07230331fc54755229cbfdb50ae937dd4df6b2dcb29c6421dcff7472,c6d1daff4e3965ab86b47a159d8bfb3f4c904366a53c7227f25bbca4624cbcf7,1a9d9a81b3e172b7a8b732f9ba1cc9849350efb1e3201eca011398e7dda30f7f,0.5707712500006892
js,0.1,js_lr0.1,5010,ok,,1.3930508394819823,7.112442750346841,36,1.018323481730692,0.057288522151637634,0.058338247340661516,0.058338247340661516,aba26ca93f740bd5902c830f1d397f5a2397ce228c90addc80dd7ec1f8814d8a,f4235162e2057664ee616f8d8f4bda75672e8380cc090ccc6fe22862db3f81fb,2c0dae2236567ec8738b3393cf97cffe59bd87e197c479b9a21c153ee643cfe6,78b2ac821e5454612335b686d1c20838f4191608b10be54b88e67af64c0c2257,0.5824693749964354
js,0.1,js_lr0.1,5011,ok,,1.1948490439179056,6.862322730785834,36,0.9712592892609105,0.046940511338625236,0.04559140768029686,0.04559140768029686,ef1bb272e260a1b79c64ecc75863a47f680b8675f52b619a3949d0054cb09463,b71666db4ef792ed9542f002966ce4de2988c4df1b88ffce4f38697566edb55a,904268223180f83f0071bfbbc8767454d4dedaa6d9180ca389754d52615a091d,b623d25747125cde4387596dc3e768f4b18a567b8b537d17ea68f8d92b541c16,0.585285749999457
js,0.1,js_lr0.1,5012,ok,,1.3734598530784559,6.920156132649401,36,1.7939228352746268,0.02613473314868945,0.046883694589242755,0.046883694589242755,c63684ec222d70bc29ca1ed69a9df253c708402d46c0ff889b7f38afcea4f0e9,9737796ac42b5871ffe84c825103758b48d25fbfaa2194f953c47a97fccfe121,9f7a10927f5db0572e27894e697a328d62f55b93c5c24e685d99dec8547138c8,9f31347a64a0b3ea43a8b60284a63cb1a5cfc07d523f244464df06a19e9d860d,0.4765176660002908
js,0.1,js_lr0.1,5013,ok,,1.0778020130342172,6.529035116835828,36,1.0482614886245654,0.04455229537521307,0.04670245547166219,0.04670245547166219,a9ee2f42cb315e215f373fe8e60bd479ec65392aa8e4b4aeae612e4c1ae3e581,af393c9544ef8c7df1cf765a273e5c43245d778627f13081e41a6994269ef33f,c1056c311f5f9ac5e5169c22779db1d962f9a49592a1df5c7e7f266ae4234c6c,b85ad0bab9b6834ea466c55f3fa6d9518a5f79d4254932a1b15251341b0b746e,0.4591886669950327
js,0.1,js_lr0.1,5014,ok,,1.0050155530670888,6.562188374763831,36,1.480569272849519,0.031520056040481456,0.04666762645203172,0.04666762645203172,d8df61078fbad89de6fafa637013ff0fff65c48c089a6707c392468d80e57c23,d8d2302ea6b16713683c33f0ddec9260bd4d7dfc44c93a1a41fff836ec7893db,d25756dd67bb12f354a50b8a7d3230921ba81d5e03d3f3033637c4a892357084,288800f7969bce65b4b3fb5cc536448b2a1815857cf9bb4d5accf1b5a0a33ae1,0.4627524169991375
js,0.1,js_lr0.1,5015,ok,,1.1083678247608764,6.726921730223857,36,1.1728518976093378,0.04298357258049559,0.050413364667062956,0.05041336466706295,7b6a23a066459c3306419dee2a1b3d57e7a6fb2577dc901a1c149b08ea631377,68d74cb499bd0c3a5fb69a0e0b72d8fa6a25ff6e2d079cce8e86236fceedd415,0b498f33042157ea2a587477b512e9e270bb54891012285a402dc3af404d9a7c,46e8e6c1df10941fa23506b9d3cce6eeded5ef0673df2b082f8a03696c38d1b3,0.4466289589981898
js,0.1,js_lr0.1,5016,ok,,1.1664960325910687,6.853237333455784,36,1.7305028066856893,0.03152642549813156,0.054556567809283946,0.054556567809283946,f42b0e5bbd8a5eedca63db1411e5fd1bdd9534b8fa0fd29852e18acb76fb6b26,419bff425a765dd91f335990e64b4425f360bdcc00ca47e36bd8a965992609a1,de34a1505ea19a91ffb66756efcfc43b91288ad3add50498a5fe05bcd1a86294,68de4839bdd1f2fbcfd44a806090c7d17719359c3f33595954e39c98da83c1f2,0.5053588329974446
js,0.1,js_lr0.1,5017,ok,,1.2624399715119359,7.038612993380124,36,1.4974495937905674,0.034987024976563745,0.05239130633909581,0.05239130633909582,825537190a88ee247897bc0cb1a16b8e9c1eda0e6f3588b93b0e79683874b541,e5475dfe9fda5080cc41f98c4da9f5e7d1e385ec6357549cf4b9803416613839,f62ad8180844f87027b0c73e9e37081a154618be3d054b48fc4a138c060f0372,024422524b08fc23ce5ab78a82f83b7bb19601c992d2039d4c8804f96e61a825,0.507023707999906
js,0.1,js_lr0.1,5018,ok,,1.4048931986720306,7.188168111754967,36,1.6577546550630624,0.02837104575867513,0.04703223317545085,0.04703223317545085,9cdce92cfdb2caced0d880f12bfde7f5636436ab660c680f4cf63e6190b25ccd,fd6f654c33bdc706620d873e07623f1a6d16e8f0d2ae8c83f9a957875b947dd3,a27da0f386b110be4ecb92f53cf2eddbb154dcfdaaa6700a380015a1099346e1,58f3b52852b82651f832a07ce8a3cb83e64fe42913140984227f343e804bb10e,0.5221213330005412
js,0.1,js_lr0.1,5019,ok,,1.0645729917957296,6.615907649766194,36,1.358679975044849,0.040740786936791895,0.05535369137858793,0.05535369137858792,d71f8ee5f2a163eaa8ebedd0e7fdf27a87422962bef6e556256f1d75e0e9c4a6,1240dfbaf3145bbe63c1ec2ee10dedf89279afb0802d35b0e2e2276e00212390,840023f21488491ef0027a979cb956ed6d29650501a511fdc4726a7d94c7d6dc,0323dbca2510afb56bb20924a9b742086c0eb61b1aa803df9f8afa4ce6ced9a8,0.4887007920042379
js,0.1,js_lr0.1,5020,ok,,1.737364549605085,7.290287406145015,36,1.231484373751506,0.039519582329447654,0.04866774809590093,0.04866774809590093,57d2748c8d076b3678ccc574e170ba4292db79fe4e0aa7856713e5585fd399d7,1f907353e2fda9b884e9f9b8e8511c8bb1baafa383e2aadd54cb07c56d42dcc7,ee35e55986f29402230dbbbabaeb20611ca0442f48d5ade74ea048683cfddfa5,07726dc11b382f63e633308f779f7816c81175ff742f1dc6da139ccbfb3b77e9,0.48625308399641654
mse,0.1,mse_lr0.1,5001,ok,,0.48883758470277716,6.157250211242132,36,1712.1082174118394,3.5450704529214497e-05,0.06069544253750725,0.060695442537507256,f634d215f486bc558a27fbaed79b617c60cf3518a9ab066711519e13626c7fe4,e0c883aea07a647adc43c74f71b0ad1d2603677cc3866d3d23b1cbf11327813c,8e59b40791047cd47341f552b4197ff05e09327a77631c609592070f1f338a90,f6efd755a2fe0d1d7b96c531a513b9fe56ab7ec95f3aae884d699c0811a9eec5,0.3762972090044059
mse,0.1,mse_lr0.1,5002,ok,,0.4237136316171447,6.065134421898708,36,1651.9785464352587,3.536340113183991e-05,0.05841957999878388,0.058419579998783874,6e67181e6d2dfd971ac2af5fcdc40a920a8b14e70723d1e5f0f875901f0d45b9,33dc9e2aefeacd905b80617a7c7c95428ca9f9f1ea8fc5262fec179e6adb94df,ae5308d27d6f6a4cda935f80d1375dac19b6a0f9b0c8812aeaa85c603ce91ad3,c52bd44a166a75632cdb12c1174f6f7a27eee8637bd5e7fcaf04421aa4eee618,0.3733095829957165
mse,0.1,mse_lr0.1,5003,ok,,0.3699117387019051,5.934441490740193,36,1715.4233956461387,3.389100599319764e-05,0.05813742458271474,0.05813742458271474,54d7c88ab9f5698fcf0561b589594bc0e6441d7df4a4b7d493cd6995f6fe5943,c1b904bed1b6b8e46c1c24a963bfde66e1295b88f08be63c9172e7e2437c021f,20b03cf9408d8f78160d3e57594b9a43564be568d71f5f09a06a3f6bc37a75b8,88d5f3a49aa65b38a689653aed1eed868a5a0980f8f580ae09b3d69375a0ee27,0.36915666599816177
mse,0.1,mse_lr0.1,5004,ok,,0.3694611109387474,6.0325663072363005,36,1657.0726824700525,2.900637773356264e-05,0.048065676159694246,0.048065676159694246,30c070b9bd5993eb4bb28268b5e90da59c174aee28f1e6fc87665efdfd0666e0,b846b10a73b063b14510247f6d0ba5ef4475a6b8e6c8ad9cc3c48a693cf4d881,d1abd1746de8692af851a2534e2bb6dbaf400139d9dc9eceefca97f7f563c6bf,ed4d1f828185e3680866b5370cb7845c0e947341cbd6f5907876ad45aff6c615,0.37071979099710006
mse,0.1,mse_lr0.1,5005,ok,,0.38573855454566686,5.962570127032386,36,1641.4136733145385,2.9830708480370613e-05,0.048964532784340285,0.048964532784340285,16ec534d1c1e03a611c9ddec706997e5053e70c79e7a05ec9cbe86039b551864,131c9d72e2e735ab71b9ca47490d28a08d5f4b279e242fdee15ccec33328a68a,0c8743a07c28766b4320d9e837e94e730d761f003264029ba3dd3ca81fe138b3,72e39ae700156bea44a3b421b5e6878156f492f9199008e031c91c470315051a,0.3670927500061225
mse,0.1,mse_lr0.1,5006,ok,,0.3960086051434569,6.1013072075023596,36,1716.912262305734,2.781317560598232e-05,0.04775278225157376,0.04775278225157376,8d23ac13e86eae2ee9cb0ee64a7817301183aabab14aa80834e1983a37c64ed2,f118dfacb4d7506edcd115fd66dd9a1dcca42f016aa1d13deb57ac6491559bab,e4182ae80a53f761ec9e2f85c571661bf5a96c9a430664aa0c2635d547f30ae8,083eb0fba40665daeae1b1af7a94379d4e4734e0f71ff680db6bb72b91aca973,0.36728416699770605
mse,0.1,mse_lr0.1,5007,ok,,0.4442624300756808,6.05315815491704,36,1623.9490382252443,2.8623589626160888e-05,0.04648325084395805,0.04648325084395805,580a40f12043f7b90f4a1f58b7157f315b22a3eb6493b947bfbc886bbe9cbb92,92ea0a58f12bf0c063598169310568b28ee5fa513b96d6fdbc9b406fea5f9db9,d3df25ebbbc0cb8aa754b74efe376397fc03190f9c8055abbd31502aa51bb86d,2a80f5707528f62f4708cd64497d1adf2195cafcb8812211884826ab3557214e,0.36699995800154284
mse,0.1,mse_lr0.1,5008,ok,,0.4372312311331408,6.132851151535098,36,1684.3611000730648,3.294742982819098e-05,0.05549536914999187,0.05549536914999186,a08ca704b105230ee6ceac528393ff70ed571c34749fe0130b1facf2359e34e7,f860d5a5eb53ad12ef0b4d864478922ac4c6c5049f0aa82c34a53f105c3712a5,9bb3900f8e588c46d8cad5e336cf941d39d644e0797c3612f73a95771c18b8e9,09ee91913e431ca4dc46c41a99dffe621719e4bfc2dde81d9b7cf83b6eeaa3ec,0.36705000000074506
mse,0.1,mse_lr0.1,5009,ok,,0.37399402630619416,6.045027488866333,36,1654.1767054031732,2.6403379908653203e-05,0.04367585598880429,0.04367585598880429,5140f1586b0b65dfa695944544b1b212cde5b26b50f9570a4b24565b03c9c40e,2a083eeb07230331fc54755229cbfdb50ae937dd4df6b2dcb29c6421dcff7472,c6d1daff4e3965ab86b47a159d8bfb3f4c904366a53c7227f25bbca4624cbcf7,1a9d9a81b3e172b7a8b732f9ba1cc9849350efb1e3201eca011398e7dda30f7f,0.36537645800126484
mse,0.1,mse_lr0.1,5010,ok,,0.35437580256678985,6.038792032633194,36,1737.3580280291264,3.3578713425488305e-05,0.058338247340661516,0.058338247340661516,aba26ca93f740bd5902c830f1d397f5a2397ce228c90addc80dd7ec1f8814d8a,f4235162e2057664ee616f8d8f4bda75672e8380cc090ccc6fe22862db3f81fb,2c0dae2236567ec8738b3393cf97cffe59bd87e197c479b9a21c153ee643cfe6,78b2ac821e5454612335b686d1c20838f4191608b10be54b88e67af64c0c2257,0.3632229159993585
mse,0.1,mse_lr0.1,5011,ok,,0.34643376261331177,5.930650660289657,36,1734.9826295276812,2.627773149101114e-05,0.04559140768029686,0.04559140768029686,ef1bb272e260a1b79c64ecc75863a47f680b8675f52b619a3949d0054cb09463,b71666db4ef792ed9542f002966ce4de2988c4df1b88ffce4f38697566edb55a,904268223180f83f0071bfbbc8767454d4dedaa6d9180ca389754d52615a091d,b623d25747125cde4387596dc3e768f4b18a567b8b537d17ea68f8d92b541c16,0.36245608299941523
