beta,architecture,objective,sigma,lr,seed,key,family,parameters,status,kl,validation_nll,recovery_1000,coverage_1000,seconds,sample_sha256,initial_sha256,mask_sha256,validation_sha256,error
0.9,dense,mse,1.0,0.005,111,b0.9_dense_mse_sigma1_lr0.005,mse,66,ok,0.7199280483706565,6.470687460841642,0.40509482618375564,0.11707240476710538,0.5470902919769287,6f4599f803588363f7f3f06a30082972087391773f80fd6d7eb3eadc6484859e,922c88498695bd4cd2bce85cb58cec5948b0b2180f15c65c83fd8961fa62e3fc,46ec6552ea8abd2c67a85ebf993bb74a1984e0f557904f8a35ae4eb6d2b596da,ff013eda1d426d67006a334f6583897c614d689f5823b14c442be63e78bb3962,
0.9,dense,mse,1.0,0.005,112,b0.9_dense_mse_sigma1_lr0.005,mse,66,ok,0.8195433025355818,6.500156317775067,0.3663521676426484,0.10770753728693863,0.5516365830553696,23158049f8a287709543a55b89f8943218b08cba397a67e034633640e70c99f6,4f0dfaf22fde2be953d09f6d5e1d430f855a074012b1744b4581503ac11ff36c,b0126d22db14df8032614d0be237f7ba7f8faae015df79310d48a47a7e019709,3dd0b47c3c1ce23069083c16d0c2272714da54db5025db5646fd1228b010a5e8,
0.9,dense,mse,1.0,0.005,113,b0.9_dense_mse_sigma1_lr0.005,mse,66,ok,0.9025675573073706,6.455994056130743,0.4047599798805811,0.12304703388369666,0.5434108750196174,1130bcd06d370ab57f1bc3a67409c755b267648b80a0f46e840060bb010d3ab8,191c09e53d0a687f6cad40fa2d14867ca63354cc5fb8b3e5cd829abf5c3cde96,494a09d0cb32c8fd575150abd91ad12074451b075c550159cd5a0edda3ce9c1b,db95c591d5ad7a1f08531cf0e04985b931fc730f28e8ed47b8c7c5d8ecd8db0c,
0.9,dense,mse,1.0,0.005,114,b0.9_dense_mse_sigma1_lr0.005,mse,66,ok,0.9207850224992697,6.6043109156381155,0.38131542235503263,0.11248804959473463,0.557581833912991,c8a7a565f4c34afcedf377bd8a33aee023bbafec99430b278d5183f906311b3e,3e40fb00f0d7336f12289747d25109e06baa7865eaf0c7dd6f89a85970ed7fd9,9fc9306ab4737b5804dc59a07264243c6abc622ca16efa0cd4d6bddf38b05e36,52ceac77e1e0c99a5de90b23d52d3e2f15eb08da92d5b6842d3e92834a138f22,
0.9,dense,mse,1.0,0.005,115,b0.9_dense_mse_sigma1_lr0.005,mse,66,ok,1.0542824394207941,6.628742480360566,0.3346730858414664,0.10006725266659845,0.6198370000347495,21e3187a25ce542a7fda12331f6df5573b7aa9cfb19c4d6a1242f48e9ab77257,bc1fd3ebe710245a2b56359c12a723983a1561bde63e3b0b4bb20f0fbc68479e,fae9b80b4b9bbecd172da441f7a298732dc4ec9c5fd56650a16ee48bf4f2164a,c3a0cabd7487508470d585545f7b6a856897b0410105302f1b4d5c12944c190d,
0.9,dense,mse,1.0,0.005,116,b0.9_dense_mse_sigma1_lr0.005,mse,66,ok,0.8720503922574274,6.504208239766946,0.3801061681630071,0.11593238128971715,0.563313000020571,b240340bda42b13e461b839e854e8931eb9b197c11fad589d1f07877b5a6c105,9cd885e5773e1a61573e6e4ab8e32f5435362a42796d8eff0025ba8c01455816,67eaeaae05cc33550f061649f99bb92951375c55491458d36e2f1c224114a8b1,0d285e8573294ff0f8d626c9d7c79b1ffa6d14fb3071ba7be902aa48627a1c7e,
0.9,dense,mse,1.0,0.005,117,b0.9_dense_mse_sigma1_lr0.005,mse,66,ok,0.932773418890386,6.643667179776889,0.3740051943040203,0.11070553751399001,0.5724638750543818,2ff937c83d36f7b3a5406c91e8755c50ce932575e34db68925452587b0ab77d6,402a25298a9acbc5abce157f274c26389cdb90f04be171fa07ccd19e6af98b90,6d2e8203ab09f7481803ba6cac1d0fef11989f0d29cc5ddaeca62054fed6f238,32821079a74fe63f445d951a557ad18447fced01821fc77b6b8d137d2fe48881,
0.9,dense,mse,1.0,0.005,118,b0.9_dense_mse_sigma1_lr0.005,mse,66,ok,0.7880894546619542,6.527373507938081,0.38802201726087704,0.1113623189538717,0.5458934999769554,f9372f8f74b3a18b86f9a9dd960278381003e836073cde71119d3b892dde9434,cbba1f67e2c26a1f241163d14c4d955aa93c178f38e5f65ab484b62775596dbb,3672d037714419789c221c8c7564a09d4bd2e60bbf08a0fa3cd13f9a40a45c57,ffdd2708cda2855a18fd4a81398631fadb59f1610b8dd3d36eefe8f678572c16,
0.9,dense,mse,1.0,0.005,119,b0.9_dense_mse_sigma1_lr0.005,mse,66,ok,1.0120937474789944,6.64836745233136,0.38563316715042306,0.11376178430937481,0.570358083001338,9cc5a5818d004f0f1492c246ba3ab8685b2df3f7dfd15cdf113ebebec42d8dee,f94f9210ef1ff1dfbe682a6006a492d2d383f30e3f71941cdb5c0b2c8319d6f5,a56289775eec0ce432a321db146cf9b88569ccab3daaa3aefaeb57ea0050cb73,01bf4e2b10f88360652600d185a9d719f05502f25f089d70da96eafa7fe4dfe3,
0.9,dense,mse,1.0,0.005,120,b0.9_dense_mse_sigma1_lr0.005,mse,66,ok,1.1370750471077535,6.852874611491345,0.35409182511654114,0.1041029965842631,0.5472852089442313,69e5aaf107b63f46b6b057dfe99d3189e4f485b9649136f1718f398f646e43c6,4939936f888881fec7dcaaa22bdc939f3e13b0069e4581c8b191c627c7ad6d41,be8ede604a893ee87034e6fb596cea91ea3be8f191d448807bebae1ef6fbfe79,dff4b17a330f664ec4d31f507c7603e7842ac94d65226c760d6e78cfa953aeb7,
0.9,dense,mse,1.0,0.01,111,b0.9_dense_mse_sigma1_lr0.01,mse,66,ok,0.688761265831235,6.446707155969314,0.4009776835423238,0.11588255054373159,0.5757310000481084,6f4599f803588363f7f3f06a30082972087391773f80fd6d7eb3eadc6484859e,922c88498695bd4cd2bce85cb58cec5948b0b2180f15c65c83fd8961fa62e3fc,46ec6552ea8abd2c67a85ebf993bb74a1984e0f557904f8a35ae4eb6d2b596da,ff013eda1d426d67006a334f6583897c614d689f5823b14c442be63e78bb3962,
0.9,dense,mse,1.0,0.01,112,b0.9_dense_mse_sigma1_lr0.01,mse,66,ok,0.5927563821785635,6.2609848113449384,0.379649823285612,0.11161704804596992,0.5777210840024054,23158049f8a287709543a55b89f8943218b08cba397a67e034633640e70c99f6,4f0dfaf22fde2be953d09f6d5e1d430f855a074012b1744b4581503ac11ff36c,b0126d22db14df8032614d0be237f7ba7f8faae015df79310d48a47a7e019709,3dd0b47c3c1ce23069083c16d0c2272714da54db5025db5646fd1228b010a5e8,
0.9,dense,mse,1.0,0.01,113,b0.9_dense_mse_sigma1_lr0.01,mse,66,ok,0.5038867108264296,6.122076126890603,0.4083405757660696,0.12413553503288516,0.5370279169874266,1130bcd06d370ab57f1bc3a67409c755b267648b80a0f46e840060bb010d3ab8,191c09e53d0a687f6cad40fa2d14867ca63354cc5fb8b3e5cd829abf5c3cde96,494a09d0cb32c8fd575150abd91ad12074451b075c550159cd5a0edda3ce9c1b,db95c591d5ad7a1f08531cf0e04985b931fc730f28e8ed47b8c7c5d8ecd8db0c,
