architecture,objective,lr,seed,key,kl,validation_nll,recovery_1000,coverage_1000,parameters,seconds,sample_sha256,initial_sha256
dense,expected-parity,0.01,118,dense_expected-parity_lr0.01,0.5099684036167148,6.213816883297946,0.42598792611751773,0.12225853479572758,66,0.3977838749997318,f9372f8f74b3a18b86f9a9dd960278381003e836073cde71119d3b892dde9434,cbba1f67e2c26a1f241163d14c4d955aa93c178f38e5f65ab484b62775596dbb
dense,expected-parity,0.01,119,dense_expected-parity_lr0.01,0.4350961158906781,6.038081183396007,0.40863205310974543,0.1205464556673749,66,0.46718162507750094,9cc5a5818d004f0f1492c246ba3ab8685b2df3f7dfd15cdf113ebebec42d8dee,f94f9210ef1ff1dfbe682a6006a492d2d383f30e3f71941cdb5c0b2c8319d6f5
dense,expected-parity,0.01,120,dense_expected-parity_lr0.01,0.3720385346010884,6.048320145875768,0.46646305078981176,0.13714013693220464,66,0.4610916250385344,69e5aaf107b63f46b6b057dfe99d3189e4f485b9649136f1718f398f646e43c6,4939936f888881fec7dcaaa22bdc939f3e13b0069e4581c8b191c627c7ad6d41
dense,expected-parity,0.02,111,dense_expected-parity_lr0.02,0.479302102777453,6.268550110961662,0.4284148470137231,0.12381189078696599,66,0.46460091695189476,6f4599f803588363f7f3f06a30082972087391773f80fd6d7eb3eadc6484859e,922c88498695bd4cd2bce85cb58cec5948b0b2180f15c65c83fd8961fa62e3fc
dense,expected-parity,0.02,112,dense_expected-parity_lr0.02,0.40245143775869696,6.056134669659705,0.4237211525303787,0.12457401884393132,66,0.46773758297786117,23158049f8a287709543a55b89f8943218b08cba397a67e034633640e70c99f6,4f0dfaf22fde2be953d09f6d5e1d430f855a074012b1744b4581503ac11ff36c
dense,expected-parity,0.02,113,dense_expected-parity_lr0.02,0.45650203835554914,6.09532182298115,0.4339681955357971,0.13192633144288232,66,0.40265462500974536,1130bcd06d370ab57f1bc3a67409c755b267648b80a0f46e840060bb010d3ab8,191c09e53d0a687f6cad40fa2d14867ca63354cc5fb8b3e5cd829abf5c3cde96
dense,expected-parity,0.02,114,dense_expected-parity_lr0.02,0.4495943114135673,6.074468500038885,0.41885128193924637,0.12356112817207768,66,0.4014559159986675,c8a7a565f4c34afcedf377bd8a33aee023bbafec99430b278d5183f906311b3e,3e40fb00f0d7336f12289747d25109e06baa7865eaf0c7dd6f89a85970ed7fd9
dense,expected-parity,0.02,115,dense_expected-parity_lr0.02,0.4619211550859135,6.061056574190341,0.42891476590592376,0.1282455150058712,66,0.40151287498883903,21e3187a25ce542a7fda12331f6df5573b7aa9cfb19c4d6a1242f48e9ab77257,bc1fd3ebe710245a2b56359c12a723983a1561bde63e3b0b4bb20f0fbc68479e
dense,expected-parity,0.02,116,dense_expected-parity_lr0.02,0.5103473046143179,6.193446918454547,0.4115307362832834,0.12551687456640145,66,0.39949379197787493,b240340bda42b13e461b839e854e8931eb9b197c11fad589d1f07877b5a6c105,9cd885e5773e1a61573e6e4ab8e32f5435362a42796d8eff0025ba8c01455816
dense,expected-parity,0.02,117,dense_expected-parity_lr0.02,0.4117501991995207,6.066434724658817,0.4259273520539859,0.12607449620797984,66,0.4028923329897225,2ff937c83d36f7b3a5406c91e8755c50ce932575e34db68925452587b0ab77d6,402a25298a9acbc5abce157f274c26389cdb90f04be171fa07ccd19e6af98b90
dense,expected-parity,0.02,118,dense_expected-parity_lr0.02,0.4088836746627908,6.132392089031227,0.42943620029456936,0.1232481894845414,66,0.4061745830113068,f9372f8f74b3a18b86f9a9dd960278381003e836073cde71119d3b892dde9434,cbba1f67e2c26a1f241163d14c4d955aa93c178f38e5f65ab484b62775596dbb
dense,expected-parity,0.02,119,dense_expected-parity_lr0.02,0.423004827356644,6.055702972957738,0.40478350223288323,0.11941113315870056,66,0.4032082500634715,9cc5a5818d004f0f1492c246ba3ab8685b2df3f7dfd15cdf113ebebec42d8dee,f94f9210ef1ff1dfbe682a6006a492d2d383f30e3f71941cdb5c0b2c8319d6f5
dense,expected-parity,0.02,120,dense_expected-parity_lr0.02,0.31024381741965934,5.992338669533024,0.49297510842460224,0.14493468187683306,66,0.4041862500598654,69e5aaf107b63f46b6b057dfe99d3189e4f485b9649136f1718f398f646e43c6,4939936f888881fec7dcaaa22bdc939f3e13b0069e4581c8b191c627c7ad6d41
dense,expected-parity,0.05,111,dense_expected-parity_lr0.05,0.4807238632162598,6.25434090695423,0.4436145945922801,0.12820461783716894,66,0.41946787491906434,6f4599f803588363f7f3f06a30082972087391773f80fd6d7eb3eadc6484859e,922c88498695bd4cd2bce85cb58cec5948b0b2180f15c65c83fd8961fa62e3fc
dense,expected-parity,0.05,112,dense_expected-parity_lr0.05,0.37982919429464534,6.021836016867348,0.435277528676294,0.12797159343083045,66,0.41277533303946257,23158049f8a287709543a55b89f8943218b08cba397a67e034633640e70c99f6,4f0dfaf22fde2be953d09f6d5e1d430f855a074012b1744b4581503ac11ff36c
dense,expected-parity,0.05,113,dense_expected-parity_lr0.05,0.37699844423882684,5.985604906922372,0.43177638344555286,0.13126002056744807,66,0.40971329202875495,1130bcd06d370ab57f1bc3a67409c755b267648b80a0f46e840060bb010d3ab8,191c09e53d0a687f6cad40fa2d14867ca63354cc5fb8b3e5cd829abf5c3cde96
